"Module" "Cluster" "Function" "Genes"
"M15.32" "A29" "TBD" "ADNP, ANKRD44, ANKRD20A11P, C6ORF204, ZC2HC1A, TRMT2B, EXOC4, FYTTD1, GOLGA8A, GPR89B, GUSBP4, HOOK1, HS.145444, HS.534437, HS.545615, HS.555252, KLF12, LARP1B, LOC153684, LOC652726, LOC653080, LOC653598, LOC728411, LOC732450, LOC92017, SHISAL2A, NFATC2IP, NR2C1, PTCD2, SUGP2, SLFN13, GUSBP14, ZNF451, ZNF514, ZNF573, ZNF763"
"M15.33" "A1" "T cells" "ALDH3A2, BCL11A, NTPCR, YBEY, NREP, INIP, CSTF3, DYRK2, RETREG1, KDSR, ICOS, IDUA, CIPC, LOC653884, LOC728014, MCM3, MRPS17, NCAPD2, NMD3, NUP210, OSBPL7, P2RY10, PLCXD1, POP5, PRPS2, RFC4, SEC62, SETD1A, TATDN1, TCEAL8, ELP6, TMEM106C, ZNF329, ZNF395, ZNF439"
"M15.34" "A6" "T cells" "ANAPC5, APEH, BRF2, NRDE2, C19ORF25, CCDC97, CD1D, CHD4, CNOT10, CRAMP1, DAXX, AGO1, GPATCH3, HDAC6, HSP90AB1, IL16, SECISBP2L, LOC648176, NXF1, PEX19, PMM2, POLDIP3, PTPRA, RASGRP2, SON, STIP1, STK11IP, SYS1, TMEM80, TRAPPC2, UVRAG, VPS33B, YTHDF1, ZFP91"
"M15.35" "A33" "Neutrophils" "AIF1, ARHGDIB, ARPC5, PRXL2A, CAP1, ADGRE5, FGD3, GMFG, HLA-A, HLA-B, HLA-E, IRF1, ITGB2, KPNB1, LAPTM5, LCP1, MCL1, MSN, MYH9, NFKBIA, PPT1, PRKCB, PRR13, PSAP, PTP4A2, RAC2, RHOG, STK4, TMBIM6, TUBA1A, TXNIP, VIM, XPNPEP3"
"M15.36" "A26" "Protein modification" "ACLY, AMY1C, ARL8B, B4GALT4, AP5M1, FAM241A, CBX1, CBX3, CCNH, COPS5, DPM1, DYNLRB1, EIF4H, OTULIN, GPAA1, GPR65, GTF2E2, ING1, LOC642197, LOC653972, LXN, MAPK6, PGAM4, PRKAG1, RTCA, SCD, STAM, TADA3, TRIP4, VPS26A, GET1, YARS2, ZNF207, ZNF410"
"M15.37" "A35" "Inflammation" "ALDOA, BICD2, CD151, CLEC12A, NIBAN1, FERMT3, FPR2, FTHL2, GNG10, GPSM3, H2AC6, HSD17B11, IL1B, LAT2, LOC440093, LRCH4, MX2, NCF2, NDUFB3, NT5C2, RHBDF2, RTN3, SERPINB1, SH3GLB1, SLC16A3, SOD2, STXBP2, TMEM154, TNFSF10, TSPO, VNN2, WARS1, WSB1"
"M15.38" "A1" "T cells" "ABHD14A, C11ORF1, TMEM204, CA5B, CD248, CD27, CD3E, CLECL1P, DBP, DNAJC24, GPR183, EEIG1, FLT3LG, GNPDA2, GPA33, HLA-DQB1, HS.355933, HS.481464, HSF2, IL7R, ITGB3BP, ITM2A, LOC642161, LOC729101, TMEM223, PLCG1, RASGRP1, SCML1, SLAMF1, SLAMF6, SLC16A10, SOX8"
"M15.39" "A8" "TBD" "ABR, ACTR1A, AP1M1, ARFGAP2, BRMS1, SLX4, C14ORF93, C6ORF47, SGF29, CLK3, COASY, EIF3B, FBH1, IKBKG, JOSD1, LTB, MFSD10, MGC10997, MGC3731, NDST2, RAB40C, RHBDD1, MAP7D1, SRF, TAPBPL, ELOA, TMEM115, TNFRSF14, TUBG1, WWP2, ZDHHC5, ZNF672"
"M15.4" "A1" "B cells" "ABLIM1, BACH2, BEX4, BTLA, RLIG1, DCAF16, DMAC1, MIR600HG, CCDC66, CCDC91, CCNB1IP1, CCT6A, CD47, CD79A, CDK9, CETN3, CSTF2, DDX47, EED, BOD1, FBXW8, GLMN, GNL3, GTPBP8, HIBADH, HS.354359, HS.436134, IER3IP1, LOC388344, TNFRSF10A-DT, LOC400304, LOC400986, LOC648099, MAD1L1, MRPL48, NAE1, NAPSB, PDPR, PEX6, PON2, PSMG1, RAN, RBM12, RRAS2, SLC35A3, SNORD14A, SRPK2, TAF6L, TCEA2, THOC1, TSPAN32, USP36, ZNF7, ZNF791"
"M15.40" "A6" "Gene transcription" "C1GALT1C1, C1ORF35, C21ORF91, COASY, CHPF2, CSNK1G3, CTDSPL2, DHX36, ECT2, EFL1, GAB3, HIC2, HIVEP1, HS.125056, HS.334831, JUN, KIF3B, NSUN5, PIGK, RBBP8, DNAJC27, RBM10, RCAN1, CLASRP, SLC39A11, SPCS3, SRRM1L, TGFBRAP1, TMEM170A, VPS39, ZMYND8"
"M15.41" "A2" "TBD" "AEBP2, ANAPC10, ANKRD39, C3ORF14, CIAPIN1, CKAP2, INTS11, DTWD1, MRM2, HYLS1, KIAA1143, C6orf226, MUSK, OSBPL3, PCCA, PIGH, POFUT2, POLR2L, PRIM1, RAB33A, RAP1GDS1, RNF26, SMARCAD1, SOX4, SUMF2, UBTF, UGDH, DNAAF10, ZNF2, ZNF696, ZNF821"
"M15.42" "A6" "Gene transcription" "BTBD1, CD2AP, CEP57, CFDP1, COG3, COG5, ESCO1, COX20, GOPC, HADHB, HIVEP2, HNRNPLL, HS.536748, ICE1, MYC, P4HA1, PHF3, PIK3CA, PPP2CB, PSPC1, PUS3, REL, SNW1, SRPK2, TMEM199, TOX4, UBIAD1, VPS26, ZBTB11, ZPR1"
"M15.43" "A35" "TBD" "CAMK2G, CLEC4E, COL18A1, COP1, CPEB4, DHRS13, FYB1, GAST, GSN, HIP1, H2BC6, H3C4, HS.467586, LOC440900, LOC646144, LRRC25, MCTP1, MEFV, MGC18216, MTMR3, CPQ, PLXNC1, PTPRC, RCN3, STOM, SVIL, TLE3, TMEM176A, TNFSF14, TXNRD1"
"M15.44" "A3" "Protein modification" "ARHGEF18, CREB3L2, DARS1, DMTF1, EIF4ENIF1, FAM76B, FNBP1, HS.371609, KLHL7, LOC388474, LOC554203, LOC728772, LOC730316, LONP2, LYPLAL1, PABPC1, PHF20, CYTH1, PTBP1, SCAF8, RHBDD1, TCFL5, GIGYF2, TXNDC12, VAMP4, ZNF294, ZNF398, ZNF518A"
"M15.45" "A6" "Platelet" "BET1, SPRTN, C22ORF39, CCDC112, CCDC146, CKAP2, CRNKL1, DEF8, F2R, TRAPPC13, H4C12, ITGAV, KLHL20, KLHL7, LOC727726, MANEA, NKAP, NUDT9, PDE4D, PLEKHA3, LRR1, PTP4A1, SEH1L, SEPHS1, TMEM106B, UBE2E3, USP21, VPS37A, VPS54"
"M15.46" "A2" "TBD" "TLE5, ARHGDIA, ATP5F1D, FAM174C, CD74, CS, EIF3G, ELK1, ERGIC3, GHDC, TECR, IL10RA, INTS5, L3MBTL2, MED24, NDUFB11, NUDCD3, P2RY8, PPP2R1A, RCE1, RNPS1, SMARCB1, SRM, TRIM28, XAB2, ZNF524, ZNF688"
"M15.47" "A32" "Antigen presentation" "BSDC1, FAM193A, DVL3, GMEB1, HLA-A, HLA-F, HLA-H, IK, INPP5D, ECPAS, LARP1, LOC644634, MARS1, NOMO1, OTUD5, P2RX7, PARP6, PCNX3, PKN1, PSD4, RALY, REXO1, SASH3, SFSWAP, SLFN11, SNX19, UBE2J1, VPS18"
"M15.48" "A3" "TBD" "AASDH, CAPS, CDC14A, CYLD, ENO3, HMBOX1, HS.194225, KIAA1641, LOC158160, LOC286208, LOC729446, MRPS25, NFATC2IP, NUP107, OTUD4, PIGM, MED1, SYNJ2BP, TAF2, TIA1, SUN1, USPL1, VENTX, ZBTB20, TUT4, ZNF160, ZNF773"
"M15.49" "A4" "Cell death" "ACSL3, ATG12, BTG1, METTL25, CCNK, CEP135, CCP110, DDX5, HS.445036, HS.576106, KLHL6, LOC146517, LOC653381, MAP3K7, PSME3IP1, OVGP1, PPP3CB, PRMT2, RCOR3, SON, TIAL1, UBL3, VPS41, YPEL2, ZHX2, ZNF564, ZZEF1"
"M15.5" "A5" "Protein modification" "SELENOF, ADD3, AKTIP, ANKRD17, ANXA1, ANXA7, MFF, CDC42SE2, CDV3, CITED2, CLPX, CNBP, COPB1, CSNK2A1, CTR9, CUL4A, CUTC, DDX17, ETF1, FDFT1, FNDC3A, GALNT10, GNG2, ING2, LOC151579, LOC653377, MAT2B, MORF4L1, NCOA3, NPTN, PDS5B, PNPLA8, PRPF18, PSMD6, RBM7, RHOA, RPL36AL, SH3BGRL, SLC36A4, PPP4R3B, AFG2B, SRP14P1, SUMO1P3, TAF7, TIAL1, TLK1, SARAF, UBR5, UGP2, VBP1, XPR1, ZNF613, ZNF700"
"M15.50" "A2" "TBD" "ALDH18A1, LLPH, CHST12, COQ3, DHRS4L2, DUT, EFL1, FABP5, FKRP, GPATCH4, HIRIP3, HNRNPAB, LOC642033, LOC643668, LOC650298, SNU13, OPA3, PAXIP1, PDIA3P1, RAD51C, SCMH1, SHMT1, TCEAL3, TIMELESS, TNFAIP8L1, TTC16, TYW3"
"M15.51" "A1" "Protein synthesis" "SNHG29, C21ORF7, DNCL1, EDF1, EIF4A2, ERP29, ETS1, FOXO3, FXYD5, HCST, H4C3, HLA-DPA1, HSPA8, LOC388654, LOC440055, LOC441775, LOC652624, NDUFB8, RPL21, RPL23, RPL26, RPLP0, S100A10, SEPT9, SPCS1, YBX1"
"M15.52" "A3" "TBD" "ABCB1, MFF, CBLN3, CENPK, DET1, EID2, FAM24B, FAM3C, HEG1, HS.133324, HS.478682, LINS1, LOC374443, LOC400464, LOC93349, MRPL42, MRS2, NFATC3, ODF2L, OTUD6B, RECK, RINT1, RWDD2A, SHPRH, TMEM18, TMEM38B, ZDHHC14"
"M15.53" "A37" "Erythrocytes" "BRD4, NPRL3, CDKL1, DPM2, EPB41, HMBS, HPS1, DCAF6, KLC3, LOC643008, LOC648434, LOC650898, MAP2K3, MICAL2, MICALCL, MXI1, RAB3IL1, DPCD, SLC38A5, SLC6A8, TCP11L2, TGM2, TMPRSS9, ODAD4, WNK1"
"M15.54" "A2" "TBD" "AMMECR1, RHNO1, IFT43, C17ORF81, RABL6, CAND1, CHKA, ESD, FBLN5, FLJ20444, HELQ, HS.572538, ISOC1, KTI12, LACTB2, LOC648470, MGA, NAPEPLD, OSBPL5, PON2, RBBP9, RNF170, SLC25A26, TOB2, ZNF318, ZNF706"
"M15.55" "A25" "Protein phosphorylation" "ARPC1B, C3ORF38, CLK1, CTNNB1, DMXL2, GABPB2, HERC3, HS.24119, ISY1, KIF5B, LOC643668, LYZ, MORC3, NAT1, NLRC5, OSBPL9, PDE4B, PIK3CB, SPG21, SPTLC1, KMT5B, TIPRL, TMF1, WDR47"
"M15.56" "A30" "Cell adhesion" "ANKRD13D, ANXA11, ATXN3, CD44, DDX17, GNB4, GNL3L, HS.371006, HS.82028, LOC196752, LOC642678, LOC653157, LOC728153, KMT2E, MTF2, NBPF10, NFAT5, PKN2, PPP6R2, SELPLG, SF1, TNFSF14, TNPO1, TOP3A, WSB1"
"M15.57" "A26" "TBD" "BAD, BABAM2, VIPAS39, C1ORF162, CALM3, CAPZB, COX15, DENND1C, EIF4H, GLE1, HS.406106, KATNB1, LOC650029, PSME1, RPL36AL, SLC10A3, SRA1, STX12, STX5, TM9SF1, TM9SF4, UBE2G1, VRK3, DCAF7, ZNF407, ZNF622"
"M15.58" "A31" "Monocytes" "INKA2, CDC42EP2, TMEM121B, ADGRE3, FCGR3A, FCHO2, WLS, HAL, HS.523076, HS.582263, ELAPOR1, MME, MPZL1, PI3, PTGS2, ST6GALNAC2, SUMO1P1, TGM3, TIAM2, TLR6, TDP2, VNN3P"
"M15.59" "A7" "TBD" "DMAC2L, AKIRIN1, C1ORF56, CCNDBP1, CCS, CD226, CRTAP, DPH3, ERMAP, ST13P4, GRIN1, HS.569831, IGFBP7, LOC646463, BLOC1S6, RABGAP1L, SAP30, SLA2, SLC25A38, TLR10, TNRC6A, TRIM23, VKORC1, GET1"
"M15.6" "A7" "Cell cycle" "ABCB10, ANAPC1, APOBEC3C, APPL1, ARMCX6, BCLAF1, BIRC6, BABAM2, BRWD1, ARMH3, INKA1, C4ORF33, CDK2, CKS1B, CORO2A, CDK12, DENND4A, CTDNEP1, EXOSC9, F8A1, FUT4, GDPD5, GGA3, GTF2IRD2B, ING2, KCTD10, LNPK, KIF21B, LOC731049, MAN2B1, MAP4K5, MARCHF3, ORMDL3, PAG1, PFKL, PIP5K1C, PPOX, PTPA, RAD23B, SLC50A1, RFX1, RPL26L1, MSMO1, SLC31A1, SLC7A1, SREBF1, SSBP3, KMT5B, TBC1D9B, TFIP11, TIMM23, TLR10, TPK1, USP7"
"M15.60" "A1" "TBD" "NOPCHAP1, ADPRM, EXO5, NEPRO, CD320, CTPS1, RADX, DOLK, EXOSC2, HS.374278, HS.436879, KIF5C, LOC442535, LOC728037, CUL9, HACD3, RNF214, RSAD1, SLC39A10, TDP1, NEMP1, TNFRSF10A, TRAM2, ZNF550, ZNF76"
"M15.61" "A7" "Monocytes" "ALDH1A1, SOWAHC, NAAA, AGAP3, CHN2, CPNE8, EGR1, ENC1, GLCE, GPBAR1, GPR162, HNMT, KCNMB1, LOC731486, NAGA, PDK4, RASSF4, RNH1, SH3TC1, SLC27A1, SLITRK4, STAB1, TSPAN4, ZFHX3, ZNF385A"
"M15.62" "A32" "TBD" "ACP6, AIG1, ARL5B, ATG2B, MIEN1, TRMT1L, MACIR, CTNNBIP1, CTSK, FAM199X, IFFO1, KCTD3, LOC134145, STRADA, MRPS36, NBAS, OCRL, PEX13, R3HDM2, RABGEF1, SLC38A6, TOP3A, ZNF137P, ZNF333, ZNF354A"
"M15.63" "A26" "TBD" "BHLHE40, YBEY, GAPT, CAT, CDK5RAP3, ECH1, GLG1, INTS6, ITGB1, LEPROT, LOC401115, MPPE1, POLR3GL, PSMB7, PSMC1, PSME2, SERTAD2, SLC25A28, STAT6, TANK, XBP1, YY1"
"M15.64" "A28" "Interferon" "ACOT9, ADRA1D, APOBR, APOL2, C1GALT1, CCR1, COP1, DYNLT1, TYMP, H2AJ, ISG20, KIAA0319L, TRANK1, NEXN, PSMB9, RHBDF2, SP100, TNFSF13B, TRIM38, TRIM56, UNC93B1"
"M15.65" "A2" "TBD" "ASF1B, MPC1, TMEM254, C1ORF54, C8ORF33, DDX28, FEN1, FOXRED1, HERC2, LOC645466, MAP3K6, NUBP1, PHKG2, PRKX, RYK, SERPINB8, ST3GAL5, TCTN1, TEX264, TTF2, TUBGCP4, ZFAND1, ZNF224"
"M15.66" "A33" "TBD" "ABCA1, ANTXR2, ANXA11, ARHGAP30, ADGRE5, CDC42SE1, DHRS9, DNTTIP1, H3-3B, HTATIP2, LYRM1, NIN, PISD, PNPLA6, RCBTB2, RERE, RNASE2, SCPEP1, TAGLN2, TP53INP1, UIMC1, VAMP3, ZNF787"
"M15.67" "A11" "TBD" "ARAF, B2M, WDR83OS, C1ORF144, DSCAM, FNTB, HECTD3, HMG20B, HS.534061, HS.539765, IFT122, PCLAF, LOC654155, NAG18, PIGQ, PPP2R2B, RDH5, S100A8, SPRYD3, SPSB3, TPT1, ZNF160"
"M15.68" "A29" "TBD" "ARRDC5, CDC14A, CSDE1, DPRXP4, RSKR, HS.157344, HS.317399, HS.347034, HS.443602, HS.444999, HS.473191, HS.481659, HS.538918, HS.574731, HS.582113, LOC401622, LOC441268, MGC5457, NLRP1, PLGLB1, RAB12, ERP44, UNKL"
"M15.69" "A32" "TBD" "BNIP2, COPB2, FYB1, GGA3, GGNBP2, GPBP1, HNRNPK, HS.532698, HS.555181, IDH1, LMO4, MON1B, OSTM1, SLC35A1, SLFN11, TMED5, TOR1B, UBE2A, USP8, VPS8, WBP4, ZNF200"
"M15.7" "A26" "Monocytes" "ADCY7, PLIN2, AHSA2P, ARHGAP30, BAT2, BLVRA, SMCO4, TMEM259, GLMP, CALML4, CAST, CD163, CDC42SE1, CLEC2B, CMTM3, CTNS, CYSLTR1, DBI, FAM111A, FAM14A, FCHSD2, ITGB1, KRCC1, LDLR, LOC124446, LOC653496, MICB, NCKAP1L, PAF1, CYTH1, RAB37, RAB3IP, RHOB, SAR1B, SUGP1, SGSH, SIL1, SLC22A18, SLC25A20, SMG5, SULT1A1, SULT1A2, TAGAP, TICAM1, TMEM79, TNF, TTC1, TTLL3, UBE2L3, UQCRB, USF1, YIF1B"
"M15.70" "A26" "Protein modification" "CMC1, DYNLL2, DYNLRB1, ETF1, FLVCR1, GOSR2, HERPUD1, HLA-F, KLHL5, LNPEP, LOC652481, LYPLAL1, NME6, PDIA6, POP4, RNF4, RPL23AP7, RPL34, SLC39A6, SRI, TIMM23, ZNF394"
"M15.71" "A6" "TBD" "AK2, CHMP6, CTBP1, CYFIP2, ECHDC1, EVI5L, GRK5, GSTCD, HLA-G, HNRPC, ING4, LOC646197, LOC647673, MRPS23, NDUFB10, PCBP4, PREP, PRPS2, RNF4, SNIP1, TRIB3, WBP1"
"M15.72" "A2" "TBD" "ALDH16A1, AP2A2, RTL10, CLCN6, CRTC2, DEAF1, DXO, FBXL6, GTF3C1, HS.27048, HS.485155, HYOU1, FBRSL1, MORC2, MRPS2, RAI1, RELL2, THOC3, THOC6, TP53BP1, USP21, WDR5"
"M15.73" "A30" "Cell cycle" "AAK1, BRWD1, CDK11A, FAM13A, FICD, HM13, HS.371060, HS.563486, HS.571887, LOC441155, LOC643977, LOC647691, RAP1A, RASA2, SCARNA9, SSH1, UBE2Z, UGP2, VAPA, VPS13B, VPS13C, PTGR3"
"M15.74" "A37" "Erythrocytes" "ANKRD9, ATP6V0C, TANGO2, FAXDC2, E2F2, FHL2, HMGXB4, LGALS3, LOC653907, MAP2K3, MARCHF2, MCOLN1, C2orf88, PPM1A, RNF10, RNF11, SLC6A10P, SMOX, SRRD, TMEM158, UBE2H"
"M15.75" "A4" "TBD" "PXYLP1, C17ORF58, CPSF2, CYB5D2, DHX32, DNAJC14, ERAP2, TMEM192, GCNT1, HS.12489, HS.13291, INPP5A, MTHFD2L, PHF5A, RAB18, RNF185, TRIM24, VTA1, ZKSCAN4, ZNF443"
"M15.76" "A32" "TBD" "ACIN1, AFTPH, B3GALT4, BECN1, CORO7, KCNK6, SIK3, KIAA1267, STRADA, MAN2B2, MSL3, PRKD2, RAP2C, RNPC3, RRAGC, SERP1, SMARCD2, STK19, ZBTB48, ZMYM2, ZNF586"
"M15.77" "A25" "TBD" "ARID4B, ARL5A, B3GNT2, OXLD1, GINM1, DUT, GPR89C, IP6K2, LOC651149, LOC653631, NFX1, OGG1, PDE7A, PTPN22, RAB28, RB1, RNF38, RPL6, SBDSP1, TAF1L, USP1"
"M15.78" "A35" "TBD" "GPAT3, ANPEP, PGGHG, BEST1, HAPSTR1, CREBRF, CSF3R, CTBS, CUEDC1, GABARAPL1, HS.34558, IL4R, LOC441124, LOC88523, MKNK1, MYBPC3, REM2, ROPN1L, SEMA4B, ZFAND3"
"M15.79" "A3" "Mitochondrial Stress/Proteasome" "CLEC2D, CLIP4, CLYBL, COG6, DHX36, EIF2A, FAM89A, FBXO28, GCLM, IREB2, MCFD2, PDHX, PIGV, PUS3, GORAB, TCF12, TRNT1, WBP11, ZNF195"
"M15.8" "A2" "Gene transcription" "ACYP2, ANKRD54, ANXA6, BIVM, STAP1, TMEM263, C12ORF43, SIMC1, NDUFAF4, CCL23, CHMP7, CLUAP1, CRY1, CYP2R1, DCUN1D4, DUSP14, EIF5A2, EXD2, ABHD17AP1, GNGT2, HRAS, HS.513000, HS.571502, HS.66187, IFT74, IPO13, LGMN, LMTK3, LRIG2, LRRC8C, LSG1, MAGEH1, NAA35, MRPS18B, MTERF1, NDFIP2, NTHL1, NUDCD2, NUP188, PARP16, PGAM5, PPAN, RDH13, RFXAP, RRP15, RUVBL1, SEM1, SNHG3-RCC1, SUPV3L1, THUMPD2, ZNF805"
"M15.80" "A6" "TBD" "BRCC3, BUD13, C12ORF4, CAPN2, CBFA2T2, CTPS2, GOLGA1, IFNA8, LRRC42, MDP-1, MYO9A, PAK1IP1, PDSS1, CNOT9, SCAMP2, SLC7A6OS, STAG1, TP53BP2, UPF3B, ZUP1"
"M15.81" "A35" "TBD" "AGPAT2, ALDOA, ARHGEF11, BLOC1S1, CARD19, CTDP1, DNM2, FMNL1, GAA, COLGALT1, MIIP, LOC642489, LRPAP1, MYADM, OS9, PIK3CD, PKM, RGS19, SH3BP5L, ZDHHC12"
"M15.82" "A1" "TBD" "BUB3, C6ORF160, ADA2, EVL, GSTP1, HLA-DMA, ICAM2, ID2, LOC649049, LOC649143, MAL, MRPS6, NFS1, NOSIP, PLSCR3, PLAAT4, RPA1, SNHG5, SS18L2, TMEM14B"
"M15.83" "A6" "Gene transcription" "AMY1B, BTN2A2, TCEANC2, FMC1, CCNT1, DARS2, DNM1L, DOLPP1, GOLGA4, TOGARAM1, LOC441191, LOC654126, MRPL47, NCBP2, TGS1, NKIRAS1, OXCT1, PIK3R1, R3HDM1, ZDHHC9"
"M15.84" "A35" "Cytokines/chemokines" "FCAR, HS.130245, HS.163346, HS.559151, HS.572130, PLIN4, KIF1B, LIMK2, LOC401233, LOC651612, MANSC1, MAPK14, OPLAH, OSM, PSG3, RASGRP4, S100P, SLC2A14, ST3GAL4, TLR2"
"M15.85" "A3" "TBD" "CDRT4, CLUAP1, ELAVL1, HS.123119, HS.298873, HS.528873, HS.554507, HS.561493, PATJ, LOC285176, LOC400464, LOC654000, LOC730092, MRPL27, NEK8, SERF1B, SNORD4A, ANO9, DNAJC30, ZNF789"
"M15.86" "A28" "Interferon" "ANKRD22, EIF2AK2, EXOG, FCGR1BP, GALM, HS.306876, KIAA1618, MOV10, MT1A, MT2A, PARP10, HELZ2, SP140, TIMM10, UBE2L6"
"M15.87" "A1" "TBD" "ATG4C, ATP5F1A, ATP5PO, TIMM21, SMIM11, BRK1, CIAO1, CNIH1, GORASP2, HPRT1, C15orf61, LOC401397, MRPL34, MRPL9, PDHB, RPS28, RPSA, TMEM14C, TRAPPC6A"
"M15.88" "A32" "TBD" "ABCC5, AP3D1, APPL2, CLN3, DDX59, HS.103173, HS.14555, HS.442696, LCOR, PER2, PI4KB, PSME3, RAVER1, SMS, STK17B, TFIP11, UBXN11, ZC3H12A, ZNF33A"
"M15.89" "A24" "TBD" "APOBEC3F, ATP1B3, BCCIP, BORA, CACYBP, CX3CR1, DLD, LOC388272, LOC652864, MGC40489, PHF19, PI4K2B, PRPF38A, PSMG1, RPE, RPS24, RPS7, SNRPC, VRK1"
"M15.9" "A6" "T cells" "AK2, AKR1C3, ANXA2P1, APOBEC3G, ARMC10, ATF4, ATP5MG, LINC00324, SDE2, NMRK1, CCDC15, CD86, COMMD10, COMMD8, CORO1B, CSNK1A1, DRG1, CALHM6, HERPUD2, IRF2BP2, KDM3A, KIF2A, LARP7, LOC387882, LOC643870, LOC646064, LOC648695, LOC650919, ETFRF1, NAP1L1, NDUFC1, LPAR6, PIPSL, PRKAG2, PTGER2, PEX2, RDH11, RPAP3, SCNM1, SIAH1, SOCS2, SSBP2, STRN3, TCEA1, FAM174A, TOB1, UBE2G1, UBL4A, YWHAB, ZNF770, ZSCAN16"
"M15.90" "A33" "TBD" "CASP8, ERBIN, HIF1A, LBR, LOC644063, LOC644330, LOC730996, LRRK2, MAEA, PICALM, RPS6KA3, SNAP23, SNX20, SON, VHL, YWHAZ"
"M15.91" "A2" "TBD" "ALDH3A2, ALKBH7, C19orf48P, CRY2, CTSL, CYB561, DHRS3, DNAJC7, GPR68, NDUFAF1, PCGF1, POLR3H, RNF5P1, RPS6KA4, SNAP29, WDR55, ZW10"
"M15.92" "A6" "Protein modification" "AFF4, ARMCX3, BBS4, FAM219B, MPLKIP, CC2D1B, EIF4G1, GXYLT1, HS.7572, OPA1, PTPRA, RAB11FIP2, RPS6KB2, SEC22C, TGIF1, TM2D1, UBE2Q1, ZRANB2"
"M15.93" "A1" "TBD" "ATIC, BIN1, CCND2, DCUN1D4, DDX10, EHBP1, RALGAPA1, HLTF, HS.145049, POGLUT1, L3MBTL3, IGIP, NUP155, PIGN, RTTN, ZBTB4, ZCCHC14, ZNF512"
"M15.94" "A3" "TBD" "ARID2, DOP1B, FOXC2, HSDL1, ITGB1BP1, LOC728758, NR2C1, PGBD2, PKIA, POLG2, RABL2A, RALGPS1, SLC2A4RG, SMC6, ZNF45, ZNF585A, ZNF75D, ZNF75A"
"M15.95" "A7" "TBD" "ACO2, ARHGEF1, ARSA, BAT2, CDK11B, GPS1, HLA-DRB4, KCTD2, LOC220686, LOC644590, LOC650909, MTMR14, NOMO1, PLEC, PTGES2, RELA, SLC38A10, SMARCC2"
"M15.96" "A6" "TBD" "ALDH6A1, RPP25L, DPP3, STRIP1, FBXO46, GMPPB, ISCA2, LOC732165, MYO18A, NIN, NLK, PIGC, PRKD2, SAR1B, SCAPER, TMCO6, UBE2D2, VPS37D"
"M15.97" "A36" "Cell death" "ACP1, AGBL5, DMAC2L, C12ORF10, CCNDBP1, CIDECP1, CTSB, EIF3B, FAHD1, ST13P4, GABARAPL2, LOC643310, LOC652672, LOC730455, ROGDI, SERF2, SH3GLB2"
"M15.98" "A6" "T cells" "ATP1B1, CD69, DBR1, IKBKB, TAF1D, LNX2, NCL, NUDCD2, OTUB1, PTPRO, PURA, SLC6A16, SPIB, THOP1, TMEM128, TSPYL2, ZNF16, ZNF444"
"M15.99" "A32" "Protein modification" "ANP32A, AP1S1, AP2B1, APP, CCDC71, CTSZ, DLST, LOC723972, PPP3R1, RAB5C, RAD50, TAF15, TAP2, TBC1D10A, U2AF1"
"M16.1" "A33" "TBD" "ABCC4, ACOT7, ACP5, ACP3, ADAM10, ADCY4, AFF1, CRYBG1, AK1, ANTXR1, ASPRV1, ATP2B1, DMAC2L, B3GNT8, BCL2A1, BRD8, BTF3, FRA10AC1, DDIAS, GSKIP, KATNBL1, C1GALT1C1, C1ORF116, THEMIS2, PRELID3B, C6ORF173, FAM120AOS, MSANTD3, C9ORF72, CACNA1B, CDC42, CDIPT, CEACAM1, CETP, CHD2, CLK3, CLN3, CLPTM1, CMTM7, CPNE8, CTDP1, CTTN, CYBRD1, CYP26A1, DAPK2, DDX41, DHRS12, DIP2A, DOCK5, EFHC2, ADGRE1, EPHB1, EPOR, ERF, EVI2B, EXOSC4, FBN2, FBXL20, FCAR, FUCA2, GAA, GNG8, GRK6, GSR, HCFC1R1, HECW2, H2AC8, HLA-DPB1, HLX, HMOX1, HNRNPH2, HOXC11, HS.443534, HS.468177, HS.542428, HS.552957, HS.578214, HS.99472, LGALSL, IGF2BP3, IL15, IL1R2, IL6R, IRAK4, FAM234A, KBTBD7, KIAA0040, LACTB, LHFPL2, LILRA5, LIMS1, LOC100008589, LOC283547, LOC285074, LOC391045, LOC441019, LOC642299, LOC642342, LOC642361, LOC649864, LOC652675, LOC653610, LOC731878, LRRC28, LSM6, MAFA, MAFF, MAN1A1, MAP2K4, MAPK14, MARCHF2, MS4A3, MSL3, NCOA1, NLRP12, OSGIN1, OSBPL6, PAK2, PDCD10, PITPNA, PLAGL1, PLEKHF2, POLR2C, POP7, PPP3CA, PRRG4, PTPRF, RAB34, RAB6A, RAB6B, RBM18, RBMS1, RBPMS2, RFESD, RFX2, RFXANK, RNF166, RPGRIP1, RRM2B, SCGB1C1, SERPINA1, SERTAD3, SIGLEC7, SLA, SLC22A15, SLC3A2, SLC6A6, SMG7, SMPDL3A, SPOCD1, SSBP3, STARD10, STRN4, TALDO1, TCP11L2, TDRD9, TGFA, TMEM88, TREML3P, TSPAN2, TTL, NME8, TXNRD2, UBE1C, URGCP, VASH1, YWHAE, YWHAG, TUT7"
